program,sw_time
1120.c,66283.16640853882
1121.c,66808.91513824463
1123.c,67438.97199630737
1124.c,70021.73662185669
1125.c,72389.22119140625
1126.c,66591.76349639893
1128.c,67037.28437423706
1129.c,68936.2645149231
1130.c,67550.790309906
1131.c,65378.20100784302
1133.c,68330.5025100708
1134.c,66982.5553894043
1135.c,65403.616428375244
1137.c,66917.6459312439
1139.c,111434.65042114258
1140.c,64876.27029418945
1141.c,67596.57859802246
1142.c,67049.8251914978
1143.c,67265.46287536621
1144.c,66021.02518081665
1145.c,66880.29766082764
1146.c,68522.09568023682
1147.c,68535.94779968262
1148.c,66079.37812805176
1149.c,66661.04793548584
1150.c,69253.3016204834
1151.c,77931.32066726685
1152.c,67383.99267196655
1153.c,67382.86018371582
1154.c,68665.12298583984
1155.c,82283.21075439453
1156.c,68274.2714881897
1157.c,82686.32888793945
1158.c,67729.33006286621
1159.c,98071.1817741394
1160.c,69288.76638412476
1161.c,69276.59511566162
1162.c,68081.7723274231
1163.c,69213.93871307373
1164.c,80815.98281860352
1165.c,79368.3409690857
1166.c,68222.45121002197
1167.c,71575.66547393799
1168.c,69585.81209182739
1169.c,74243.37863922119
1171.c,68066.43009185791
1175.c,69910.77661514282
1177.c,79206.91967010498
1178.c,68748.52180480957
1179.c,69394.20700073242
1180.c,65810.41812896729
1181.c,65658.66470336914
1182.c,68586.62366867065
1183.c,67532.83739089966
1184.c,67939.5079612732
1185.c,67581.29596710205
1186.c,69597.23234176636
1187.c,67834.09118652344
1188.c,67497.89714813232
1189.c,67666.56637191772
1190.c,67878.68738174438
1191.c,82389.9507522583
1192.c,65433.07304382324
1193.c,68992.6266670227
1194.c,68412.74499893188
1196.c,67762.31527328491
1197.c,68347.39446640015
1199.c,71251.01089477539
1200.c,72955.34610748291
1201.c,68057.07216262817
1202.c,69600.64172744751
1203.c,67147.06420898438
1206.c,67874.84884262085
1208.c,69536.55481338501
1209.c,69373.58379364014
1210.c,68518.12601089478
1211.c,69425.7378578186
1212.c,82629.6329498291
1213.c,67565.89412689209
1214.c,81911.98110580444
1215.c,67306.44702911377
1216.c,67784.59548950195
1217.c,69841.26567840576
1218.c,68538.37966918945
1219.c,65194.1180229187
1220.c,68662.25004196167
1222.c,67508.32796096802
1223.c,68099.80869293213
1225.c,67607.98692703247
1226.c,72210.78872680664
1227.c,71835.23178100586
1228.c,67403.97214889526
1229.c,68660.5453491211
1230.c,67651.80826187134
1231.c,67157.34004974365
1232.c,67576.78985595703
1233.c,68601.89437866211
1234.c,65393.662452697754
1235.c,66964.8289680481
1236.c,95204.37717437744
1237.c,69776.70192718506
1238.c,67778.68270874023
1239.c,68679.66651916504
1240.c,67945.69492340088
1241.c,73722.0287322998
1242.c,66782.03344345093
1243.c,68359.8279953003
1244.c,68763.62562179565
1245.c,67878.98540496826
1247.c,67293.15519332886
1248.c,68556.63061141968
1250.c,75440.54985046387
1251.c,68056.7979812622
1252.c,67690.00291824341
1253.c,71755.56421279907
1254.c,82382.94124603271
1255.c,67267.2986984253
1259.c,80927.63423919678
1260.c,67700.17147064209
1261.c,67717.24224090576
1262.c,67770.99370956421
1263.c,67096.43602371216
1264.c,67407.52458572388
1267.c,67462.76617050171
1268.c,67529.26111221313
1269.c,72222.19705581665
1271.c,67785.44187545776
1272.c,67070.87755203247
1273.c,68707.1442604065
1274.c,78168.66636276245
1275.c,67772.12619781494
1276.c,71161.6039276123
1277.c,77107.72752761841
1278.c,67953.33623886108
1279.c,67711.59172058105
1280.c,82728.88660430908
1281.c,67856.46677017212
1284.c,68688.80987167358
1285.c,74053.7166595459
1286.c,68182.70683288574
1287.c,67775.96473693848
1288.c,67762.7682685852
1289.c,68429.29124832153
1290.c,67763.55504989624
1291.c,67128.08609008789
1292.c,66369.68851089478
1293.c,64820.289611816406
1294.c,67615.28253555298
1295.c,67765.85578918457
1296.c,67597.21040725708
1297.c,67800.7960319519
1298.c,68012.10641860962
1299.c,67443.53771209717
1300.c,69587.57638931274
